location
"(30.5547761, -97.8267035)"
"(28.3296161, -80.7532044)"
"(37.6554726, -121.0405425)"
"(38.3111316, -121.1391554)"
"(36.385088, -97.92528259999999)"
"(40.0039743, -75.7623816)"
"(42.2847942, -88.2018879)"
"(40.7138628, -73.98987919999999)"
"(33.9993802, -118.4566384)"
"(38.2646585, -104.6773215)"
"(38.40537339999999, -121.4057269)"
"(32.750313, -97.689504)"
"(32.757865, -97.230852)"
"(36.842118, -76.307433)"
"(38.2559823, -121.2231058)"
"(40.0617911, -95.60639839999999)"
"(32.00484, -80.985688)"
"(33.733627, -84.51223399999999)"
"(26.0046394, -80.2309312)"
"(40.9540935, -98.4098772)"
"(29.76742, -98.469251)"
"(40.881077, -73.98928)"
"(32.5471659, -84.4504073)"
"(45.55028189999999, -122.5800334)"
"(45.4951902, -122.7195656)"
"(32.8212403, -96.8226856)"
"(34.4940534, -117.2136404)"
"(36.0869979, -86.606822)"
"(42.403703, -83.0860673)"
"(38.9361095, -95.21213050000001)"
"(40.8614137, -73.9116425)"
"(38.031648, -121.2821501)"
"(43.0867314, -87.8751047)"
"(37.9521527, -121.7127993)"
"(39.6339836, -105.0491889)"
"(38.804434, -76.9246469)"
"(47.02885999999999, -122.764425)"
"(36.697862, -121.658234)"
"(42.4760569, -96.34950909999999)"
"(31.4473183, -110.9225968)"
"(39.7394266, -104.8295927)"
"(41.8399376, -72.74252659999999)"
"(38.169048, -85.6675612)"
"(28.7105762, -81.3660857)"
"(32.64271430000001, -117.070513)"
