street,location
"3160 Otto Dr Lakeland, FL 33812","(27.9618047, -81.9041326)"
"940 Tulip Dr Indianapolis, IN 46227","(39.6675462, -86.1424699)"
"68 Rocky Top Rd Troutville, VA 24175","(37.4392236, -79.9567679)"
"3330 Taylor Blair Rd West Jefferson, OH 43162","(39.9874996, -83.33642189999999)"
"4254 Eagle Landing Parkway Orange Park, FL 32065","(30.155867, -81.86505609999999)"
"140 Commonwealth Avenue Chestnut Hill, MA 2467","(42.3340489, -71.1707022)"
"1644 Pebble Creek Drive Sartell, MN 56377","(45.6212186, -94.2424302)"
"29004 112Th Pl Trevor, WI 53179","(42.5147438, -88.1609087)"
"3649 North Olivers Cross Road Newton, NC 28658","(35.5929839, -81.1305745)"
"3031 S Cherokee St Englewood, CO 80110","(39.661743, -104.9915)"
"2385 Burgundy Way Fairfield, CA 94533","(38.2406863, -122.0740905)"
"5956 Sunny Ln Duluth, MN 55811","(46.8895376, -92.30487800000002)"
"9725 64Th Ave Rego Park, NY 11374","(40.7300952, -73.85974019999999)"
"16 Belknap St Laconia, NH 3246","(43.5329056, -71.470274)"
"8215 Sw 72Nd Ave Miami, FL 33143","(25.6939241, -80.3083837)"
"2633 Walden Ct Kissimmee, FL 34743","(28.3478902, -81.3353647)"
"322 Westgrove Ct Durham, NC 27703","(35.9213054, -78.8175361)"
"70 Fountainhead Ct Martinez, CA 94553","(37.9888583, -122.0848836)"
"3418 Woodruff Ave Long Beach, CA 90808","(33.8194732, -118.1160397)"
"355 Ne 30Th Ave Homestead, FL 33033","(25.4731788, -80.43228979999999)"
"8098 Carnation Dr Buena Park, CA 90620","(33.8516901, -117.9916863)"
"9 Ferris Ave Norwalk, CT 6854","(41.1062552, -73.4297613)"
"14472 Rath St La Puente, CA 91744","(34.0506022, -117.9627174)"
"507 Benforest Dr Severna Park, MD 21146","(39.086123, -76.5822575)"
"254 Winding Hill Dr Hackettstown, NJ 7840","(40.8524572, -74.7959121)"
"120 East Main Street Lexington, KY 40507","(38.0454839, -84.49710139999999)"
"12357 Doran Pl North Hollywood, CA 91605","(34.2075516, -118.4027702)"
"19230 Forest Park Dr Ne Apt H126 Lake Forest Park, WA 98155","(47.769546, -122.304859)"
"1005 S 10Th St Burlington, IA 52601","(40.7973154, -91.1095424)"
"114 Private Road 2482 South Point, OH 45680","(38.4346519, -82.5964305)"
"6951 Aruba Ln Fort Collins, CO 80525","(40.4892538, -105.0572255)"
"375 E Ramona Expressway Perris, CA 92571","(33.8426209, -117.2185162)"
"5000 Woodland Dr New Orleans, LA 70131","(29.9036379, -89.9908366)"
"1939 109Th Ave Oakland, CA 94603","(37.7388768, -122.1591934)"
"2481 Bell Ridge Dr Crestview, FL 32536","(30.77916399999999, -86.585819)"
"170 North 5Th St Brooklyn, NY 11211","(40.7160005, -73.95807049999999)"
"1670 Granville Court Lawrenceville, GA 30043","(33.9690089, -84.0723749)"
"993 Dassow Ct Alpharetta, GA 30009","(34.0479434, -84.3174334)"
"1718 Beloit Dr Naperville, IL 60565","(41.73726389999999, -88.09684969999999)"
"58 Grand Canyon Cir Oakley, CA 94561","(37.9809614, -121.6880582)"
"43 Blister St Middle River, MD 21220","(39.3311187, -76.4501114)"
"22219 Jewell Dr Bristol, VA 24202","(36.628037, -82.166308)"
"3711 Bright Moon Ct Katy, TX 77449","(29.8267566, -95.73962920000001)"
"1017 Worden Road Wickliffe, OH 44092","(41.61908, -81.4725576)"
"1231 Maple Leaf Ct Sidney, OH 45365","(40.2705619, -84.1616698)"
"2703 Clarence Ave Berwyn, IL 60402","(41.8412592, -87.7891489)"
"11822 Varnell St Houston, TX 77039","(29.8945176, -95.3055538)"
"268 Ocean Cay Boulevard St. Augustine, FL 32080","(29.8586604, -81.2892816)"
"4950 S King Dr Apt 3E Chicago, IL 60615","(41.8043229, -87.617091)"
"849 Sequoia Ave Sanger, CA 93657","(36.716691, -119.548565)"
"25982 W Potter Dr Buckeye, AZ 85396","(33.672768, -112.6102506)"
"4627 1St Avenue Sw Cedar Rapids, IA 52405","(41.966032, -91.72955999999999)"
"4948 Olive Street Montclair, CA 91763","(34.0911163, -117.6974281)"
"323 Peck Road Wynantskill, NY 12198","(42.66433, -73.62795)"
"50 Oak Dr Hopewell Junction, NY 12533","(41.5631831, -73.8420672)"
"53 Flint St Somerville, MA 2145","(42.3848562, -71.0880554)"
"113 Parker St Maynard, MA 1754","(42.42071139999999, -71.4472135)"
"111 Kingsway Del Rio, TX 78840","(29.4096323, -100.9065641)"
"710 Ashton Cactus, TX 79013","(36.0543155, -102.0057592)"
"11081 Fuchsia Ct Adelanto, CA 92301","(34.5100351, -117.4218682)"
"6290 Nw 173Rd St Hialeah, FL 33015","(25.9310942, -80.30346039999999)"
"3404 97Th St Lubbock, TX 79423","(33.506658, -101.888801)"
"308 N Margaret St Georgetown, DE 19947","(38.6890994, -75.3942955)"
"17474 Ehle St Castro Valley, CA 94546","(37.6920689, -122.0989894)"
"1804 Uruapan Plz Dallas, TX 75211","(32.7172984, -96.901692)"
"3301 Hudnall St Apt 3301 Dallas, TX 75235","(32.8256695, -96.82540499999999)"
"11705 Sycamore Dr Plymouth, MI 48170","(42.368222, -83.448217)"
"12420 County Road 150 Kimball, MN 55353","(45.3043337, -94.2950125)"
"17517 Merlin Drive Lowell, IN 46356","(41.3000847, -87.4044232)"
"6222 Ladera Dr Houston, TX 77083","(29.7095797, -95.6486911)"
"23509 Nelson Ave Port Charlotte, FL 33954","(27.0180813, -82.0587815)"
"1202 W Washington St Champaign, IL 61821","(40.1204692, -88.26514739999999)"
"4040 Mendon Rd Cumberland, RI 2864","(41.9844257, -71.47695399999999)"
"780 Beechwood Dr Daly City, CA 94015","(37.6889108, -122.4851775)"
"8840 Hickory Dr Orland Hills, IL 60487","(41.5810289, -87.8341571)"
"39 Dongan St Staten Island, NY 10310","(40.6363458, -74.12424829999999)"
"1570 Alderwood Street Eugene, OR 97404","(44.0892928, -123.1434119)"
"397 Berkeley Ave Bloomfield, NJ 7003","(40.7942876, -74.18597969999999)"
"1145 Wainiha St Honolulu, HI 96825","(21.304325, -157.6857029)"
"9611 Keystone Trl Parker, CO 80134","(39.542388, -104.794722)"
"3812 Cedar Spring Dr Midland, TX 79703","(31.9846655, -102.1241265)"
"24 Oriole Ln Glendale Heights, IL 60139","(41.9345624, -88.08982809999999)"
"55 Forestdale Dr Somerset, MA 2726","(41.7629655, -71.1443314)"
"48 Crossland Trail Fairfield, PA 17320","(39.7747389, -77.391229)"
"2064 S Elms Rd Swartz Creek, MI 48473","(42.9990333, -83.81255709999999)"
"315 Saint Andrews Lane Myrtle Beach, SC 29588","(33.6431052, -79.05216879999999)"
"12802 Rockford Dr Houston, TX 77048","(29.6240064, -95.34266749999999)"
"10397 Golden Ridge Dr Wadsworth, OH 44281","(40.9897101, -81.7355618)"
"1332 Grey Oak Dr San Antonio, TX 78213","(29.5327365, -98.5137061)"
"8279 Tapia Via Dr Rancho Cucamonga, CA 91730","(34.1039518, -117.6251253)"
"733 Shelby Dr Oxon Hill, MD 20745","(38.7930245, -76.9951997)"
"11727 47Th Ave Ne Unit A Marysville, WA 98271","(48.1014282, -122.1678253)"
"37541 N. North Ave. Beach Park, IL 60087","(42.4070131, -87.8351167)"
"15 Shore Road Old Greenwich, CT 6870","(41.0277597, -73.55660619999999)"
"4343 E Princeton Ave Gilbert, AZ 85234","(33.3652884, -111.6966516)"
"79 East Seacrest Avenue Lindenhurst, NY 11757","(40.6615285, -73.3770174)"
"250 S Whiting St Alexandria, VA 22304","(38.8115165, -77.13624740000002)"
"154 Mechanic St Danielson, CT 6239","(41.8112701, -71.8832354)"
"24312 Via Las Junitas Murrieta, CA 92562","(33.5869305, -117.1883953)"
"10743 Gail Pl Socorro, TX 79927","(31.647549, -106.274717)"
"1886 Otis St Harvey, LA 70058","(29.8996931, -90.06903799999999)"
"2149 Woodbury Hwy Manchester, TN 37355","(35.5174096, -86.08384009999999)"
"2916 Sandy Grove Ct Richmond, VA 23223","(37.5660081, -77.38477)"
"2004 Thornhill Dr Akron, OH 44313","(41.1269705, -81.58215589999999)"
"2534 Greenstone Ct San Jose, CA 95122","(37.3439733, -121.822921)"
"180 Kennedy Dr. Apt 511 Malden, MA 2148","(42.4369007, -71.0307667)"
"3202 Gary Ln Spring, TX 77380","(30.144549, -95.4893125)"
"3707 Shadow Wick Ln Houston, TX 77082","(29.7198427, -95.6023714)"
"710 Burnt Mills Ave Silver Spring, MD 20901","(39.0353017, -76.9955597)"
"354 Magnolia Dr Selden, NY 11784","(40.8900907, -73.04571609999999)"
"415 Ferrell Ave Charlotte, NC 28216","(35.2999352, -80.8838906)"
"447 Little Sorrel Dr Strasburg, VA 22657","(39.0034354, -78.3772549)"
"16739 W Yavapai St Goodyear, AZ 85338","(33.4338895, -112.4189485)"
"114 S Imperial Dr Denison, TX 75020","(33.756455, -96.57604479999999)"
